[GENERAL]
DATE=July 16, 2018 at 17:47:41
CYME_VERSION=7.00
CYMDIST_REVISION=06

[SI]

[CONCENTRIC NEUTRAL CABLE]
FORMAT_CONCENTRICNEUTRALCABLE=ID,R1,R0,X1,X0,B1,B0,Amps,Amps_1,Amps_2,Amps_3,Amps_4,WithstandRating,NumberOfPhases,FailRate,TmpFailRate,MajorRepairTime,MinorRepairTime,MajorFailureProportion,PhaseCondID,NeutralCondID,NeutralWires,InsulationType,InsulationDielectricConst,InsulationDiameter,Dab,Dbc,Dac,RatedLevel,ContinuousTemperatureRating,SCCurrentTemperatureRating,PositiveSequenceShuntConductance,ZeroSequenceShuntConductance,LockImpedance,Favorite,Comments
1P2AL_863,1.469300,0.498900,1.469300,0.498900,2.085200,2.085200,158.000000,158.000000,158.000000,158.000000,158.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,
1P2CU_1004,1.002000,0.329500,1.002000,0.329500,2.085100,2.085100,193.000000,193.000000,193.000000,193.000000,193.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,
1P2CU_1081,1.002000,0.329500,1.002000,0.329500,2.085100,2.085100,251.000000,251.000000,251.000000,251.000000,251.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,
1P2CU_1082,1.002000,0.329500,1.002000,0.329500,2.085200,2.085200,251.000000,251.000000,251.000000,251.000000,251.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,
1P2CU_1083,1.002000,0.329500,1.002000,0.329500,2.085200,2.085200,193.000000,193.000000,193.000000,193.000000,193.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,
1P350CU_1130,0.360700,0.150900,0.360700,0.150900,3.771200,3.771200,607.000000,607.000000,607.000000,607.000000,607.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,
1P350CU_1131,0.360700,0.150900,0.360700,0.150900,3.771200,3.771200,470.000000,470.000000,470.000000,470.000000,470.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,
1P40AL_883,0.561000,0.156100,0.561000,0.156100,3.105800,3.105800,305.000000,305.000000,305.000000,305.000000,305.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,
1P40AL_893,0.561000,0.156100,0.561000,0.156100,3.105700,3.105700,305.000000,305.000000,305.000000,305.000000,305.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,
1P40AL_894,0.561000,0.156100,0.561000,0.156100,3.105700,3.105700,211.000000,211.000000,211.000000,211.000000,211.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,
1P40AL_903,0.561000,0.156100,0.561000,0.156100,3.105700,3.105700,305.000000,305.000000,305.000000,305.000000,305.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,
1P40AL_913,0.559300,0.177600,0.559300,0.177600,1.907700,1.907700,277.000000,277.000000,277.000000,277.000000,277.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,
1P40AL_914,0.559300,0.177600,0.559300,0.177600,1.907700,1.907700,198.000000,198.000000,198.000000,198.000000,198.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,
1P4AL_1146,2.063400,0.699500,2.063400,0.699500,1.818900,1.818900,150.000000,150.000000,150.000000,150.000000,150.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,
2/0_XLPE,0.438500,0.662100,0.240700,0.136100,74.926201,74.926201,254.000000,254.000000,254.000000,254.000000,254.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,
28KV_#1AL_XLPE,0.929400,1.577000,0.319700,0.386900,44.330200,44.330200,162.000000,162.000000,162.000000,162.000000,162.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,
28KV_350AL_XLPE,0.264000,0.773500,0.255400,0.245900,77.223602,77.223602,313.000000,313.000000,313.000000,313.000000,313.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,
28KV_750CU_XLPE,0.147700,0.228400,0.152000,0.080400,101.446999,101.446999,696.000000,696.000000,696.000000,696.000000,696.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,
2P10AL_2124,0.679500,0.223300,1.330000,0.299800,1.552800,1.552800,188.000000,188.000000,188.000000,188.000000,188.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,
